#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,sway,"is the main graphical user interface and window manager."
,xwayland,"allows compatibility with programs which use the x-server."
,waylock,"is a program to lock the screen."
