#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,i3-gaps,"is the main graphical user interface and window manager."
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,arandr,"is a UI for screen adjustment."
,slock,"is a program to lock the screen."
A,gksu,"is a program to start things with sudo privileges."
